,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
dates,2020-01-03 00:00:00,2020-01-10 00:00:00,2020-01-17 00:00:00,2020-01-24 00:00:00,2020-01-31 00:00:00,2020-02-07 00:00:00,2020-02-14 00:00:00,2020-02-21 00:00:00,2020-02-28 00:00:00,2020-03-06 00:00:00,2020-03-13 00:00:00,2020-03-20 00:00:00,2020-03-27 00:00:00,2020-04-03 00:00:00,2020-04-10 00:00:00,2020-04-17 00:00:00,2020-04-24 00:00:00,2020-05-01 00:00:00,2020-05-08 00:00:00,2020-05-15 00:00:00,2020-05-22 00:00:00,2020-05-29 00:00:00,2020-06-05 00:00:00,2020-06-12 00:00:00,2020-06-19 00:00:00,2020-06-26 00:00:00,2020-07-03 00:00:00,2020-07-10 00:00:00
Care homes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,16.0,100.0,481.0,1645.0,2645.0,2625.0,2257.0,1746.0,1271.0,963.0,688.0,477.0,318.0,216.0,195.0,128.0,78.0
